epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.705,1.83031,2.48545,1.40493,0.00943,0.65141,0.18126,0.0887,1.54652,3.3099,1.39439,0.000543038,0.000543038,0.000543038
2,363.137,1.54947,1.46491,1.21182,0.65992,0.52177,0.53234,0.27145,1.5567,2.37246,1.45956,0.00106245,0.00106245,0.00106245
3,535.656,1.50757,1.31125,1.19338,0.58699,0.54038,0.60256,0.3208,1.48489,1.76288,1.39562,0.00154518,0.00154518,0.00154518
4,709.874,1.46146,1.20045,1.16962,0.69895,0.62625,0.66056,0.34167,1.49798,1.93176,1.44349,0.00150197,0.00150197,0.00150197
5,883.684,1.42745,1.14005,1.17306,0.68682,0.5098,0.59677,0.29814,1.5142,2.16576,1.38879,0.00144696,0.00144696,0.00144696
6,1055.99,1.42329,1.0856,1.16627,0.74373,0.66081,0.72605,0.40267,1.42432,1.28345,1.31934,0.00139195,0.00139195,0.00139195
7,1228.39,1.39713,1.01938,1.14187,0.73955,0.71436,0.75088,0.404,1.36142,1.43039,1.33859,0.00133693,0.00133693,0.00133693
8,1400.97,1.37633,0.97892,1.13005,0.75303,0.72428,0.77085,0.43422,1.36262,1.20013,1.31687,0.00128192,0.00128192,0.00128192
9,1574.06,1.3501,0.95283,1.11795,0.8428,0.7453,0.80514,0.47354,1.31286,1.09045,1.25596,0.00122691,0.00122691,0.00122691
10,1746.12,1.35008,0.95095,1.10988,0.74278,0.72931,0.77244,0.41622,1.45622,1.16146,1.35712,0.0011719,0.0011719,0.0011719
11,1920.19,1.33137,0.90687,1.10198,0.79111,0.7504,0.77802,0.42743,1.38525,1.09,1.30761,0.00111689,0.00111689,0.00111689
12,2092.51,1.32146,0.8829,1.10987,0.78764,0.73778,0.81462,0.46524,1.30683,1.0457,1.24673,0.00106188,0.00106188,0.00106188
13,2264.88,1.31131,0.88096,1.09718,0.8459,0.68676,0.81422,0.4485,1.36207,1.02334,1.28721,0.00100687,0.00100687,0.00100687
14,2442.31,1.29718,0.83826,1.09669,0.81196,0.71979,0.78157,0.42583,1.39967,1.19316,1.42638,0.000951857,0.000951857,0.000951857
15,2613.88,1.3006,0.8474,1.08998,0.82255,0.74857,0.81407,0.43948,1.26778,0.99428,1.16891,0.000896846,0.000896846,0.000896846
16,2786.09,1.25432,0.78535,1.08077,0.86565,0.7857,0.84535,0.49468,1.30962,0.92402,1.24757,0.000841835,0.000841835,0.000841835
17,2957.28,1.25655,0.79569,1.065,0.87465,0.79272,0.85664,0.49214,1.28584,0.87696,1.19766,0.000786824,0.000786824,0.000786824
18,3128.53,1.23211,0.75805,1.07044,0.89432,0.74677,0.85758,0.49925,1.24895,0.83027,1.2049,0.000731813,0.000731813,0.000731813
19,3300.88,1.2498,0.76363,1.06413,0.86305,0.77922,0.84045,0.49221,1.25714,0.81417,1.25191,0.000676802,0.000676802,0.000676802
20,3472.73,1.20964,0.75677,1.05172,0.84466,0.82899,0.86343,0.52052,1.20652,0.82442,1.1962,0.000621791,0.000621791,0.000621791
21,3641.78,1.1997,0.78605,1.06018,0.82238,0.78868,0.85185,0.49461,1.19261,0.83148,1.13361,0.00056678,0.00056678,0.00056678
22,3810.86,1.19449,0.72042,1.06156,0.82698,0.8494,0.87872,0.5112,1.19799,0.83556,1.16538,0.000511769,0.000511769,0.000511769
23,3980.94,1.16857,0.69073,1.0476,0.89298,0.81789,0.87431,0.52065,1.10491,0.76321,1.12058,0.000456758,0.000456758,0.000456758
24,4150.19,1.14015,0.6662,1.03125,0.89109,0.81597,0.86769,0.52814,1.1718,0.71558,1.19896,0.000401747,0.000401747,0.000401747
25,4319.6,1.15209,0.65575,1.03173,0.88718,0.79011,0.85451,0.53176,1.12894,0.6881,1.17042,0.000346736,0.000346736,0.000346736
26,4489.85,1.14423,0.65115,1.03191,0.91815,0.8302,0.89038,0.52974,1.18044,0.69932,1.14681,0.000291725,0.000291725,0.000291725
27,4658.83,1.10517,0.62254,1.00952,0.92319,0.82481,0.8822,0.5248,1.1424,0.72531,1.12934,0.000236714,0.000236714,0.000236714
28,4826.8,1.09347,0.61162,1.01232,0.89282,0.83443,0.88922,0.52827,1.16231,0.69544,1.13842,0.000181703,0.000181703,0.000181703
29,4996.05,1.09847,0.60288,1.00859,0.86533,0.83027,0.89448,0.53775,1.12289,0.69092,1.13686,0.000126692,0.000126692,0.000126692
30,5165.48,1.09002,0.58941,1.00285,0.91627,0.80784,0.8944,0.54124,1.1417,0.69303,1.13769,7.1681e-05,7.1681e-05,7.1681e-05
